GEO_ID_NEW,GEO_ID,NAME,B01003_001E,B01003_001M
53027000500,1400000US53027000500,"Census Tract 5, Grays Harbor County, Washington",6565,604
53027000600,1400000US53027000600,"Census Tract 6, Grays Harbor County, Washington",3808,272
53027000700,1400000US53027000700,"Census Tract 7, Grays Harbor County, Washington",4779,317
53027000800,1400000US53027000800,"Census Tract 8, Grays Harbor County, Washington",4494,358
53027000900,1400000US53027000900,"Census Tract 9, Grays Harbor County, Washington",5967,470
53027001000,1400000US53027001000,"Census Tract 10, Grays Harbor County, Washington",3666,360
53027001100,1400000US53027001100,"Census Tract 11, Grays Harbor County, Washington",4224,325
53027001200,1400000US53027001200,"Census Tract 12, Grays Harbor County, Washington",4113,313
53027001300,1400000US53027001300,"Census Tract 13, Grays Harbor County, Washington",3361,258
53027001400,1400000US53027001400,"Census Tract 14, Grays Harbor County, Washington",2174,234
53027001500,1400000US53027001500,"Census Tract 15, Grays Harbor County, Washington",3733,276
53027001600,1400000US53027001600,"Census Tract 16, Grays Harbor County, Washington",6765,685
53027940000,1400000US53027940000,"Census Tract 9400, Grays Harbor County, Washington",895,126
53027990000,1400000US53027990000,"Census Tract 9900, Grays Harbor County, Washington",0,12
53029970100,1400000US53029970100,"Census Tract 9701, Island County, Washington",2686,214
53029970200,1400000US53029970200,"Census Tract 9702, Island County, Washington",2124,286
53029970300,1400000US53029970300,"Census Tract 9703, Island County, Washington",4656,504
53029970400,1400000US53029970400,"Census Tract 9704, Island County, Washington",6642,565
53029970500,1400000US53029970500,"Census Tract 9705, Island County, Washington",6278,378
53029970601,1400000US53029970601,"Census Tract 9706.01, Island County, Washington",3223,252
53029970602,1400000US53029970602,"Census Tract 9706.02, Island County, Washington",3272,319
53029970700,1400000US53029970700,"Census Tract 9707, Island County, Washington",2140,201
53029970800,1400000US53029970800,"Census Tract 9708, Island County, Washington",2726,240
53029970900,1400000US53029970900,"Census Tract 9709, Island County, Washington",4873,355
53029971000,1400000US53029971000,"Census Tract 9710, Island County, Washington",4959,417
53029971100,1400000US53029971100,"Census Tract 9711, Island County, Washington",3035,222
53029971300,1400000US53029971300,"Census Tract 9713, Island County, Washington",4457,367
53029971400,1400000US53029971400,"Census Tract 9714, Island County, Washington",4935,331
53029971500,1400000US53029971500,"Census Tract 9715, Island County, Washington",3481,345
53029971600,1400000US53029971600,"Census Tract 9716, Island County, Washington",3989,313
53029971700,1400000US53029971700,"Census Tract 9717, Island County, Washington",4022,222
53029971800,1400000US53029971800,"Census Tract 9718, Island County, Washington",2281,194
53029971900,1400000US53029971900,"Census Tract 9719, Island County, Washington",3999,290
53029972000,1400000US53029972000,"Census Tract 9720, Island County, Washington",4153,376
53029972100,1400000US53029972100,"Census Tract 9721, Island County, Washington",3705,392
53029992201,1400000US53029992201,"Census Tract 9922.01, Island County, Washington",0,12
